,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-01-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-01-01,0,4,0,0,0,4,4
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-01-01,2,9,0,0,2,9,11
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-01-01,1,3,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-01-01,0,1,0,0,0,1,1
COLLANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-02-01,1,0,0,0,1,0,1
CORIPATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-02-01,2,4,0,0,2,4,6
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-02-01,4,4,0,0,4,4,8
INQUISIVI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-02-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-02-01,6,3,0,0,6,3,9
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-02-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-02-01,6,4,0,0,6,4,10
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-03-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2016-03-01,0,0,0,1,0,1,1
