,group,variable,month,DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,1,4,1,1,2,5,7
ACHACACHI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,8,22,43,86,51,108,159
ACHOCALLA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,5,20,6,12,11,32,43
AIQUILE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,4,15,1,3,5,18,23
ALALAY,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,0,0,0,1,0,1,1
ALCALA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,2,3,0,0,2,3,5
ALTO BENI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,10,4,17,28,27,32,59
ANCORAIMES,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,4,10,4,7,8,17,25
ANDAMARCA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,1,0,3,0,4,0,4
ANTEQUERA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,0,4,4,7,4,11,15
ANZALDO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,1,0,16,16,17,16,33
APOLO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,2,4,1,7,3,11,14
ARAMPAMPA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,5,13,57,13,62,26,88
ARANI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,9,12,3,0,12,12,24
ARBIETO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,5,24,7,13,12,37,49
ARQUE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2016-01-01,1,1,0,0,1,1,2
