,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,2,3,0,0,2,3,5
AYATA,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,0,2,0,0,0,2,2
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,1,2,0,0,1,2,3
COLQUENCHA,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,0,2,0,0,0,2,2
COPACABANA,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,2,2,0,0,2,2,4
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,2,11,0,0,2,11,13
MINEROS,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,16,23,0,0,16,23,39
MONTERO,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,0,2,8,15,8,17,25
ORURO,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,75,112,0,1,75,113,188
PAILON,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,0,0,49,0,49,0,49
QUILLACOLLO,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,1,0,3,0,4,0,4
SAN CARLOS,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,2,4,0,0,2,4,6
SAN IGNACIO,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,15,14,0,0,15,14,29
SAN PEDRO,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,0,1,0,0,0,1,1
TOLEDO,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,1,2,0,0,1,2,3
URUBICHA,otras vacunaciones,influenza estacional a personal de salud,2016-01-01,4,8,0,0,4,8,12
