,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,13,22,13,22,35
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,0,1,0,1,1
APOLO,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,1,2,1,2,3
ARBIETO,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,1,0,1,0,1
AYATA,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,6,2,3,7,9,9,18
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,10,0,10,0,10
BOLPEBRA,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,1,0,1,0,1
BOYUIBE,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,8,11,8,11,19
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,5,4,0,0,5,4,9
CHUA COCANI,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,1,1,1,1,2
CHUMA,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,4,2,4,2,6
COBIJA,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,5,4,0,0,5,4,9
COLQUENCHA,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,1,2,0,0,1,2,3
COLQUIRI,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,0,0,20,14,20,14,34
CONCEPCION,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,3,0,0,0,3,0,3
COPACABANA,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,12,6,17,9,29,15,44
COTOCA,otras vacunaciones,influenza estacional en mayores de 65 anos,2016-01-01,8,1,0,0,8,1,9
