,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,3,0,0,0,3,3
AYATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,3,0,0,0,3,0,3
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,2,3,0,0,2,3,5
BUENA VISTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,3,0,0,1,3,4
CALAMARCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,4,0,0,1,4,5
CAMIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,1,0,0,1,1,2
CARANAVI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,2,1,0,0,2,1,3
CHIMORE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,1,0,0,1,1,2
CHUMA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,1,2,0,0,1,2,3
COBIJA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,9,2,0,0,9,2,11
COCHABAMBA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,5,5,7,31,12,36,48
COLLANA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,0,2,0,0,0,2,2
COLPA BELGICA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2016-01-01,4,7,1,0,5,7,12
