,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,3,4,1,0,4,4,8
ATOCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,5,5,0,0,5,5,10
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,1,1,0,0,1,1,2
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,1,0,0,0,1,0,1
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,5,0,0,0,5,0,5
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,7,22,2,9,9,31,40
COLOMI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,0,4,5,4,5,9
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,3,7,21,1,24,8,32
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,11,13,0,0,11,13,24
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,5,5,0,1,5,6,11
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,0,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,2,5,0,0,2,5,7
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,1,6,5,4,6,10,16
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2016-01-01,0,3,6,5,6,8,14
