,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,3.0,0.0,3.0,0.0,6.0,6.0
CAMIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
CHARAGUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
COBIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,13.0,0.0,0.0,0.0,13.0,13.0
COLQUIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,43.0,0.0,1.0,0.0,44.0,44.0
COPACABANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,4.0,0.0,1.0,0.0,5.0,5.0
COTOCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,10.0,0.0,0.0,0.0,10.0,10.0
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,44.0,0.0,0.0,0.0,44.0,44.0
FILADELFIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,1.0,0.0,2.0,0.0,3.0,3.0
GUANAY,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
HUANUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2016-01-01,0.0,14.0,0.0,0.0,0.0,14.0,14.0
