,group,variable,month,DT 3RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 10 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,0,2,4,7,4,9,13
ACHACACHI,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,0,4,2,20,2,24,26
ACHOCALLA,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,1,10,2,2,3,12,15
AIQUILE,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,8,9,0,1,8,10,18
ALALAY,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,0,1,0,1,0,2,2
ALTO BENI,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,52,72,23,29,75,101,176
ANCORAIMES,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,2,12,0,2,2,14,16
ANTEQUERA,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,1,0,2,1,3,1,4
ANZALDO,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,1,0,5,14,6,14,20
APOLO,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,1,5,0,2,1,7,8
ARAMPAMPA,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,2,1,2,3,4,4,8
ARANI,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,2,3,1,2,3,5,8
ARBIETO,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,3,11,3,18,6,29,35
ARQUE,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,0,9,0,0,0,9,9
ASCENCION DE GUARAYOS,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,1,12,2,3,3,15,18
ATOCHA,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2016-01-01,1,9,0,0,1,9,10
