municipality,group,variable,month,BCG -DENTRO,TOTAL DENTRO,BCG -FUERA,TOTAL FUERA
ACACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,13,13
ACHACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,27,27,46,46
ACHOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,7,7,11,11
AIQUILE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,35,35,22,22
ALALAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,3,3
ALCALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,1,1
ANCORAIMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,34,34
ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,2,2
ANTEQUERA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,7,7,3,3
ANZALDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,9,9,7,7
APOLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,6,6,6,6
ARAMPAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,12,12
ARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,10,10,9,9
ARBIETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,0,0
ARQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,18,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,58,58,2,2
ATOCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,9,9,6,6
AUCAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,2,2
AYATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,12,12
AYO AYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,12,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,11,11,30,30
AZURDUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,13,13,10,10
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,20,20,1,1
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,0,0
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,3,3
BELLA FLOR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,3,3
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,51,51,0,0
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,11,11,24,24
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,8,8,1,1
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,5,5
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,13,13,9,9
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,20,20,0,0
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,13,13
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,15,15
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,17,17,12,12
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,0,0,5,5
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,23,23
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,34,34,10,10
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,0,0
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,10,10,2,2
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,18,18,1,1
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,3,3,6,6
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,32,32,16,16
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,75,75,43,43
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,6,6
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,18,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,4,4,10,10
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,37,37,23,23
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,5,5,3,3
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,31,31,17,17
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,16,16,7,7
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,26,26,1,1
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,0,0
CHOQUE COTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,1,1,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,15,15,9,9
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,2,2,7,7
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2006-01-01,33,33,1,1
