,group,variable,month,L 17.1 BCG,L 17.1 BCG,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,7,17
ACHACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,40,8,48
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,6,13,19
AIQUILE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,37,3,40
ALALAY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,1,1
ALCALA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,2,5
ALTO BENI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,22,1,23
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,6,8
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,3,3
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,2,4
ANZALDO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,9,16
APOLO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,19,19,38
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,4,8
ARANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,9,1,10
ARBIETO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,11,8,19
ARQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,16,1,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,59,5,64
ATOCHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,19,8,27
AUCAPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,0,2
AYATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,12,17
AYO AYO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,5,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,20,17,37
AZURDUY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,12,2,14
BATALLAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,16,6,22
BAURES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,41,1,42
BETANZOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,18,15,33
BOLIVAR,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,19,21
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,0,3
BOYUIBE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,8,10
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,5,15
CABEZAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,15,2,17
CAIROMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,9,11,20
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,5,5
CAJUATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,6,7,13
CALACOTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,8,8
CALAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,9,16
CAMARGO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,24,2,26
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,0,1
CAMIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,94,0,94
CAPINOTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,27,5,32
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,9,16
CARACOLLO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,20,8,28
CARANAVI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,91,13,104
CARAPARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,11,1,12
CARIPUYO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,10,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,3,8
CATACORA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,2,2
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,46,20,66
CHAQUI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,3,5
CHARAGUA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,12,93,105
CHARAÑA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,1,1
CHAYANTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,15,22
CHIMORE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,20,8,28
CHIPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,2,2
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,24,3,27
CHUMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,23,28
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,6,12,18
CKOCHAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,8,12,20
CLIZA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,23,8,31
COBIJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,160,1,161
COCAPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,5,7,12
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1558,193,1751
COIPASA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,66,0,66
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,12,2,14
COLLANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,7,8
COLOMI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,23,8,31
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,6,6
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,29,39
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,4,8
COLQUIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,52,62
COMANCHE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,0,2
COMARAPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,33,5,38
COMBAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,30,0,30
COPACABANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,11,11,22
CORIPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,23,10,33
CORO CORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,3,6
COROICO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,2,12
CORQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,7,9
COTAGAITA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,14,16,30
COTOCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,106,1,107
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,28,6,34
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1,0,1
CUEVO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,0,2,2
CULPINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,24,7,31
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,7,4,11
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,8,12
EL ALTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,1705,48,1753
EL CHORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,2,2,4
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,10,2,12
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,4,8,12
EL TORNO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,103,1,104
EL VILLAR,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,3,0,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,25,5,30
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,43,0,43
ESCOMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-01-01,11,2,13
