,group,variable,month,L 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,L 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,8,3,11
ACHACACHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,47,15,62
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,15,10,25
AIQUILE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,21,4,25
ALALAY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,0,8,8
ALCALA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,3,3,6
ALTO BENI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,18,0,18
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,13,5,18
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,4,3,7
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,5,1,6
ANZALDO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,8,4,12
APOLO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,31,13,44
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,1,1,2
ARANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,19,2,21
ARBIETO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,18,7,25
ARQUE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,9,4,13
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,68,16,84
ATOCHA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,36,1,37
AUCAPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,7,4,11
AYATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,3,10,13
AYO AYO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,13,0,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,22,19,41
AZURDUY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,11,13,24
BATALLAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,28,5,33
BAURES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,4,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,0,4,4
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,44,5,49
BETANZOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,40,15,55
BOLIVAR,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,5,3,8
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,4,1,5
BOYUIBE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,8,0,8
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,19,13,32
CABEZAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,26,3,29
CAIROMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,16,5,21
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,9,3,12
CAJUATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,16,1,17
CALACOTO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,2,7,9
CALAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,11,5,16
CAMARGO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,13,11,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,7,1,8
CAMIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,69,7,76
CAPINOTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,23,1,24
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,3,2,5
CARACOLLO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,29,6,35
CARANAVI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,71,15,86
CARANGAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,12,3,15
CARIPUYO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,4,14,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,2,5,7
CATACORA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,39,20,59
CHAQUI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,9,3,12
CHARAGUA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,11,32,43
CHARAÑA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,8,8,16
CHIMORE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,36,12,48
CHIPAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,34,6,40
CHUMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,8,11,19
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,5,10,15
CKOCHAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,10,18,28
CLIZA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,31,7,38
COBIJA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,106,6,112
COCAPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,16,16,32
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,1468,0,1468
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,94,2,96
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,21,3,24
COLLANA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,3,0,3
COLOMI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-01-01,40,2,42
