,group,variable,month,L 17.4 PENTAVALENTE 3RA. DOSIS,L 17.4 PENTAVALENTE 3RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,2,7
ACHACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,53,16,69
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,13,7,20
AIQUILE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,22,8,30
ALALAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,0,2,2
ALCALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
ALTO BENI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,0,16
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,5,17
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,12,20
APOLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,21,12,33
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,4,9
ARANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,17,3,20
ARBIETO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,17,6,23
ARQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,14,4,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,65,6,71
ATOCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,18,6,24
AUCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,3,3,6
AYATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,6,16
AYO AYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,0,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,18,11,29
AZURDUY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,13,15
BATALLAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,23,11,34
BAURES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,0,2
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,49,6,55
BETANZOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,26,18,44
BOLIVAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,4,8
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,6,2,8
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,25,12,37
CABEZAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,27,3,30
CAIROMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,5,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,2,12
CAJUATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,4,12
CALAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,11,10,21
CAMARGO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,22,8,30
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,2,3
CAMIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,55,11,66
CAPINOTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,19,3,22
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,5,13
CARACOLLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,20,11,31
CARANAVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,88,16,104
CARAPARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,2,10
CARIPUYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,9,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,4,8
CATACORA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,1,3
CHACARILLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,37,16,53
CHAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,6,3,9
CHARAGUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,11,35,46
CHARAÑA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,14,15,29
CHIMORE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,52,15,67
CHIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,22,6,28
CHUMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,7,14
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,9,5,14
CKOCHAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,10,12,22
CLIZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,22,15,37
COBIJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,93,2,95
COCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,14,14,28
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1282,2,1284
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,109,7,116
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,2,18
COLLANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,5,0,5
COLOMI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,54,4,58
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,2,9
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,23,31,54
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,16,0,16
COLQUIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,12,35,47
COMANCHE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,4,0,4
COMARAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,39,7,46
COMBAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,0,4,4
CONCEPCION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,45,0,45
COPACABANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,8,11,19
CORIPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,19,6,25
CORO CORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,7,2,9
COROICO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,28,6,34
CORQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-01-01,1,3,4
