,group,variable,month,L 17.9 ANTIROTAVIRICA 2RA. DOSIS,L 17.9 ANTIROTAVIRICA 2RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,9,3,12
ACHACACHI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,43,11,54
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,11,7,18
AIQUILE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,20,6,26
ALALAY,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,8,8
ALCALA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,3,6
ALTO BENI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,15,0,15
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,12,5,17
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,4,3,7
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,1,6
ANZALDO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,4,12
APOLO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,27,14,41
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,2,3
ARANI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,19,2,21
ARBIETO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,17,7,24
ARQUE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,4,12
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,71,14,85
ATOCHA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,30,2,32
AUCAPATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,6,4,10
AYATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,10,13
AYO AYO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,11,1,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,24,21,45
AZURDUY,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,11,13,24
BATALLAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,26,5,31
BAURES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,4,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,4,4
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,42,5,47
BETANZOS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,40,15,55
BOLIVAR,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,3,8
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,1,3
BOYUIBE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,1,9
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,19,14,33
CABEZAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,28,4,32
CAIROMA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,16,7,23
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,9,3,12
CAJUATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,19,0,19
CALACOTO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,7,9
CALAMARCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,10,5,15
CAMARGO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,13,11,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,1,6
CAMIRI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,69,8,77
CAPINOTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,20,1,21
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,2,5
CARACOLLO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,28,6,34
CARANAVI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,71,12,83
CARANGAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,10,3,13
CARIPUYO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,4,14,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,5,7
CATACORA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,37,20,57
CHAQUI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,3,11
CHARAGUA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,6,24,30
CHARAÑA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,8,16
CHIMORE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,29,14,43
CHIPAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,29,5,34
CHUMA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,8,11,19
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,5,6,11
CKOCHAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,12,11,23
CLIZA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,31,8,39
COBIJA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,108,3,111
COCAPATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,14,16,30
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,1426,0,1426
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,93,1,94
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,21,3,24
COLLANA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,3,0,3
COLOMI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,39,3,42
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,4,0,4
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,33,30,63
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,18,0,18
COLQUIRI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,18,36,54
COMANCHE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,2,1,3
COMARAPA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,39,2,41
COMBAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,0,2,2
CONCEPCION,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,43,0,43
COPACABANA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,14,11,25
CORIPATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,21,8,29
CORO CORO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,10,3,13
COROICO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-01-01,18,6,24
