,group,variable,month,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,7,1,8
ACHACACHI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,60,13,73
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,18,8,26
AIQUILE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,26,7,33
ALALAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,4,6
ALCALA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,0,4
ALTO BENI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,28,0,28
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,7,5,12
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,5,6
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,0,1
ANZALDO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,8,9,17
APOLO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,25,15,40
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,5,9
ARANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,19,0,19
ARBIETO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,16,8,24
ARQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,2,8
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,61,12,73
ATOCHA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,21,9,30
AUCAPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,2,6
AYATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,10,29,39
AYO AYO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,22,3,25
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,35,15,50
AZURDUY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,9,11,20
BATALLAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,25,5,30
BAURES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,7,0,7
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,5,6
BERMEJO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,45,2,47
BETANZOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,36,13,49
BOLIVAR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,9,15
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,3,1,4
BOYUIBE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,7,1,8
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,26,4,30
CABEZAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,45,6,51
CAIROMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,12,5,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,7,5,12
CAJUATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,17,2,19
CALACOTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,0,4,4
CALAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,15,4,19
CAMARGO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,22,8,30
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,1,6
CAMIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,61,5,66
CAPINOTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,39,4,43
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,5,10
CARACOLLO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,27,5,32
CARANAVI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,80,11,91
CARANGAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,2,8
CARIPUYO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,3,14,17
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,4,8
CATACORA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,51,22,73
CHAQUI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,6,2,8
CHARAGUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,11,41,52
CHARAÑA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,1,3
CHAYANTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,14,7,21
CHIMORE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,50,5,55
CHIPAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,5,0,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,40,7,47
CHUMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,16,27,43
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,10,6,16
CKOCHAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,11,13,24
CLIZA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,34,7,41
COBIJA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,115,4,119
COCAPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,8,12
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1452,0,1452
COIPASA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,95,2,97
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,12,2,14
COLLANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,2,0,2
COLOMI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,44,3,47
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-01-01,4,0,4
