,group,variable,month,L 17.8 ANTIROTAVIRICA 1RA. DOSIS,L 17.8 ANTIROTAVIRICA 1RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,6,1,7
ACHACACHI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,55,10,65
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,16,8,24
AIQUILE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,25,6,31
ALALAY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,4,6
ALCALA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,0,4
ALTO BENI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,26,0,26
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,7,5,12
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,5,6
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,0,1
ANZALDO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,8,9,17
APOLO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,24,14,38
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,5,9
ARANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,19,0,19
ARBIETO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,16,8,24
ARQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,8,2,10
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,61,10,71
ATOCHA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,31,9,40
AUCAPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,1,5
AYATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,10,29,39
AYO AYO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,20,2,22
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,35,15,50
AZURDUY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,9,11,20
BATALLAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,26,5,31
BAURES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,6,0,6
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,3,4
BERMEJO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,41,2,43
BETANZOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,36,13,49
BOLIVAR,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,6,9,15
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,1,4
BOYUIBE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,7,1,8
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,26,4,30
CABEZAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,45,6,51
CAIROMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,12,5,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,7,5,12
CAJUATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,18,1,19
CALACOTO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,0,4,4
CALAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,14,4,18
CAMARGO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,21,8,29
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,1,6
CAMIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,60,4,64
CAPINOTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,36,3,39
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,5,10
CARACOLLO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,25,5,30
CARANAVI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,79,13,92
CARANGAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,1,6
CARIPUYO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,14,17
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,4,4,8
CATACORA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,0,3,3
CHACARILLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,50,20,70
CHAQUI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,7,2,9
CHARAGUA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,10,21,31
CHARAÑA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,1,3
CHAYANTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,14,7,21
CHIMORE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,50,4,54
CHIPAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,5,0,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,36,7,43
CHUMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,16,27,43
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,10,5,15
CKOCHAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,9,13,22
CLIZA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,35,6,41
COBIJA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,113,4,117
COCAPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,8,11
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1445,0,1445
COIPASA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,93,2,95
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,11,2,13
COLLANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,0,2
COLOMI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,42,3,45
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,2,0,2
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,36,36,72
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,15,0,15
COLQUIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,17,38,55
COMANCHE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,3,3,6
COMARAPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,36,3,39
COMBAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,1,6,7
CONCEPCION,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,43,0,43
COPACABANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,19,13,32
CORIPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,24,10,34
CORO CORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,9,2,11
COROICO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-01-01,25,1,26
