,group,variable,month,L 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,L 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
BUENA VISTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
CAJUATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
CAPINOTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
CHAYANTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,1,2
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,2,1,3
EL TORNO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,1,2
EUREKA (SANTOS MERCADO),tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,9,2,11
LAGUNILLAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
SACABA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
SAN BENITO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
SAN PEDRO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,9,5,14
SHINAOTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,2,0,2
SIPE SIPE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
TOMAVE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,0,1
WARNES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,4,5
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,2,0,2
YAPACANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-01-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,0,1,1
ATOCHA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
AZURDUY,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-02-01,1,1,2
