,group,variable,month,L 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,L 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
ARANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
ARQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
AUCAPATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
BATALLAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
BUENA VISTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
CABEZAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,3,1,4
CARAPARI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,5,3,8
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,2,2,4
COCHABAMBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,14,2,16
COLLANA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
COLOMI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
COMANCHE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,2,2,4
COROICO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
COTAGAITA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
COTOCA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,24,19,43
EL PUENTE(STC),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
EL TORNO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,4,1,5
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,3,3,6
ESCOMA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-01-01,1,0,1
