,group,variable,month,L 2311 TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,L 2311 TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-01-01,0,2,2
EL TORNO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-02-01,0,2,2
COBIJA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-04-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-05-01,5,4,9
EL TORNO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-06-01,3,3,6
EL TORNO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-07-01,2,4,6
REYES,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-07-01,1,3,4
EL TORNO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-08-01,5,1,6
SAN IGNACIO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-08-01,6,1,7
EL TORNO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-09-01,4,2,6
MONTEAGUDO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-09-01,1,1,2
EL TORNO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-10-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-10-01,2,2,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-11-01,1,0,1
EL TORNO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-11-01,0,1,1
EL TORNO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-12-01,2,0,2
PADCAYA,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 2311       tratamientos iniciados con esquema multibacilar (p.q.t.),2012-12-01,1,0,1
