,group,variable,month,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ALTO BENI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
CABEZAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,2,0,2
CAMIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,4,2,6
CHALLAPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
CHAYANTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,1,2
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,2,0,2
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,9,7,16
COLCAPIRHUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,2,0,2
"COLCHA ""K""",tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,2,2
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,8,9,17
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,2,0,2
HUANUNI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,3,1,4
INCAHUASI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,2,3
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,3,4,7
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,10,7,17
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,3,0,3
MIZQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,3,5,8
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,3,4
PAMPA GRANDE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,2,2
POROMA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,3,0,3
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,10,0,10
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,3,0,3
RIBERALTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,0,2,2
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-01-01,4,1,5
