,group,variable,month,L 2310 TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,L 2310 TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-02-01,0,1,1
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-03-01,0,1,1
SACABA,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-03-01,1,0,1
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-04-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-04-01,1,0,1
BERMEJO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-05-01,0,2,2
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-05-01,2,2,4
MONTEAGUDO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-05-01,2,0,2
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-06-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-06-01,0,1,1
SIPE SIPE,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-06-01,0,1,1
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-07-01,0,2,2
GUAYARAMERIN,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-07-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-07-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-07-01,0,1,1
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-08-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-08-01,2,0,2
REYES,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-08-01,1,0,1
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-09-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-09-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-10-01,1,0,1
REYES,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-10-01,1,0,1
SAN CARLOS,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-10-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-10-01,0,1,1
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-11-01,1,1,2
REYES,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-11-01,1,0,1
EL TORNO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-12-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 2310       tratamientos iniciados con esquema pausibacilar (p.q.t.),2012-12-01,2,1,3
