,group,variable,month,L 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,L 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,8,2,10
COLCAPIRHUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,14,8,22
EL TORNO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,1,2
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,28,17,45
LLALLAGUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,3,0,3
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,2,3
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,3,2,5
PATACAMAYA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,0,1,1
SACABA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,2,3
SAN BENITO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,11,10,21
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,2,0,2
SANTIAGO DE CALLAPA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,0,1,1
SORATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,9,2,11
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,2,3
TIQUIPAYA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,0,1,1
TOMAVE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,1,2
UNCIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
URUBICHA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,1,1,2
VILLAZON,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,0,1,1
WARNES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-01-01,0,1,1
