,group,variable,month,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
ACHACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,11,5,16
AIQUILE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,6,1,7
ALALAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,3,4
ALTO BENI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,2,4
ANCORAIMES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
APOLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,1,5
ARAMPAMPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
ARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,0,5
ARBIETO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,2,4
ARQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,11,9,20
ATOCHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
AUCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
AYATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,4,9
AYO AYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,9,3,12
AZURDUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,1,5
BATALLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,8,4,12
BELEN DE ANDAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
BELEN DE URMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,13,14,27
BETANZOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,0,4
BOLIVAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
BOLPEBRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,1,2
BOYUIBE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,6,3,9
CABEZAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,6,1,7
"CAIZA ""D""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,2,1,3
CAJUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,1,6
CALAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,0,1,1
CAMARGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,3,5,8
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,4,4,8
CAPINOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,11,16
CARACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,5,6
CARANAVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,51,30,81
CARAPARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,5,4,9
CARIPUYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-01-01,1,2,3
