,group,variable,month,L 23.7 TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,L 23.7 TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CHAQUI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,1,0,1
CHAYANTA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,1,0,1
PADCAYA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,0,2,2
SACABA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,1,1,2
SUCRE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,1,1,2
YOTALA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-01-01,2,1,3
CHALLAPATA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,1,1,2
COLCAPIRHUA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,2,0,2
SACABA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,1,2,3
SHINAOTA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,1,0,1
TOMAVE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,1,1,2
PUNATA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,1,2,3
SUCRE,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-03-01,1,1,2
AZURDUY,tuberculosis y lepra,l 23.7       tratamientos iniciados con esquema lll,2012-04-01,0,1,1
