,group,variable,month,L 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,L 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,0,1
AYATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,2,2
BATALLAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,2,3
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,2,1,3
CHIMORE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,2,3
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,4,1,5
CONCEPCION,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,2,2,4
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,5,6,11
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,3,4
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,1,2
GUANAY,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,0,1
GUTIERREZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,2,2,4
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,4,3,7
MIZQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,4,1,5
PADCAYA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,2,3
POROMA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
PORTACHUELO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,3,0,3
PUERTO CARABUCO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,3,4
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,2,2,4
SAN BORJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,4,0,4
SAN BUENA VENTURA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,3,0,3
SAN CARLOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,2,1,3
SAN JULIAN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,0,1,1
SAN PEDRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-01-01,1,2,3
