,group,variable,month,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
ALTO BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
ARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
AUCAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
AYATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
AZURDUY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
BATALLAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,2,3
BETANZOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
CABEZAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
CALAMARCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,4,1,5
CARAPARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
CHAYANTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,4,3,7
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,0,2
CKOCHAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,3,5
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,22,5,27
COLCAPIRHUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
COLLANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
COLOMI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
COMANCHE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,3,2,5
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
COTAGAITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,1,2
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,40,29,69
EL PUENTE(STC),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,2,3,5
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,5,1,6
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,3,3,6
ESCOMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-01-01,1,0,1
