municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,37,37
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,204,204
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,44,44
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,172,172
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,13,13
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,39,39
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,54,54
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,33,33
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,12,12
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,21,21
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,112,112
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,31,31
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,78,78
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,134,134
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,59,59
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,276,276
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,427,427
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,20,20
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,47,47
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,25,25
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,76,76
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,49,49
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,38,38
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,95,95
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,6,6
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2008-01-01,12,12
