municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2008-01-01,17,17
ACHACACHI,otras actividades de enfermeria,sueros,2008-01-01,62,62
ACHOCALLA,otras actividades de enfermeria,sueros,2008-01-01,3,3
AIQUILE,otras actividades de enfermeria,sueros,2008-01-01,97,97
ALALAY,otras actividades de enfermeria,sueros,2008-01-01,4,4
ALCALA,otras actividades de enfermeria,sueros,2008-01-01,10,10
ANCORAIMES,otras actividades de enfermeria,sueros,2008-01-01,4,4
ANDAMARCA,otras actividades de enfermeria,sueros,2008-01-01,10,10
ANTEQUERA,otras actividades de enfermeria,sueros,2008-01-01,13,13
ANZALDO,otras actividades de enfermeria,sueros,2008-01-01,5,5
APOLO,otras actividades de enfermeria,sueros,2008-01-01,31,31
ARAMPAMPA,otras actividades de enfermeria,sueros,2008-01-01,16,16
ARANI,otras actividades de enfermeria,sueros,2008-01-01,7,7
ARBIETO,otras actividades de enfermeria,sueros,2008-01-01,3,3
ARQUE,otras actividades de enfermeria,sueros,2008-01-01,16,16
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2008-01-01,384,384
ATOCHA,otras actividades de enfermeria,sueros,2008-01-01,367,367
AUCAPATA,otras actividades de enfermeria,sueros,2008-01-01,3,3
AYATA,otras actividades de enfermeria,sueros,2008-01-01,5,5
AYO AYO,otras actividades de enfermeria,sueros,2008-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2008-01-01,42,42
AZURDUY,otras actividades de enfermeria,sueros,2008-01-01,35,35
BATALLAS,otras actividades de enfermeria,sueros,2008-01-01,21,21
BAURES,otras actividades de enfermeria,sueros,2008-01-01,20,20
BELEN DE URMIRI,otras actividades de enfermeria,sueros,2008-01-01,2,2
BELLA FLOR,otras actividades de enfermeria,sueros,2008-01-01,5,5
BERMEJO,otras actividades de enfermeria,sueros,2008-01-01,1544,1544
BETANZOS,otras actividades de enfermeria,sueros,2008-01-01,112,112
BOLIVAR,otras actividades de enfermeria,sueros,2008-01-01,6,6
BOLPEBRA,otras actividades de enfermeria,sueros,2008-01-01,5,5
