municipality,group,variable,month,Inyectables,TOTAL
ACACIO,otras actividades de enfermeria,inyectables,2020-01-01,238,238
ACHACACHI,otras actividades de enfermeria,inyectables,2020-01-01,901,901
ACHOCALLA,otras actividades de enfermeria,inyectables,2020-01-01,259,259
AIQUILE,otras actividades de enfermeria,inyectables,2020-01-01,1455,1455
ALALAY,otras actividades de enfermeria,inyectables,2020-01-01,112,112
ALCALA,otras actividades de enfermeria,inyectables,2020-01-01,284,284
ALTO BENI,otras actividades de enfermeria,inyectables,2020-01-01,654,654
ANCORAIMES,otras actividades de enfermeria,inyectables,2020-01-01,280,280
ANDAMARCA,otras actividades de enfermeria,inyectables,2020-01-01,355,355
ANTEQUERA,otras actividades de enfermeria,inyectables,2020-01-01,70,70
ANZALDO,otras actividades de enfermeria,inyectables,2020-01-01,262,262
APOLO,otras actividades de enfermeria,inyectables,2020-01-01,753,753
ARAMPAMPA,otras actividades de enfermeria,inyectables,2020-01-01,203,203
ARANI,otras actividades de enfermeria,inyectables,2020-01-01,405,405
ARBIETO,otras actividades de enfermeria,inyectables,2020-01-01,384,384
ARQUE,otras actividades de enfermeria,inyectables,2020-01-01,304,304
ASCENCION DE GUARAYOS,otras actividades de enfermeria,inyectables,2020-01-01,8074,8074
ATOCHA,otras actividades de enfermeria,inyectables,2020-01-01,6625,6625
AUCAPATA,otras actividades de enfermeria,inyectables,2020-01-01,348,348
AYATA,otras actividades de enfermeria,inyectables,2020-01-01,231,231
AYO AYO,otras actividades de enfermeria,inyectables,2020-01-01,95,95
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,inyectables,2020-01-01,983,983
AZURDUY,otras actividades de enfermeria,inyectables,2020-01-01,842,842
BATALLAS,otras actividades de enfermeria,inyectables,2020-01-01,260,260
BAURES,otras actividades de enfermeria,inyectables,2020-01-01,902,902
BELEN DE ANDAMARCA,otras actividades de enfermeria,inyectables,2020-01-01,98,98
BELEN DE URMIRI,otras actividades de enfermeria,inyectables,2020-01-01,132,132
BELLA FLOR,otras actividades de enfermeria,inyectables,2020-01-01,278,278
BERMEJO,otras actividades de enfermeria,inyectables,2020-01-01,10190,10190
BETANZOS,otras actividades de enfermeria,inyectables,2020-01-01,2168,2168
