municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,37,37
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,209,209
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,137,137
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,244,244
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,7,7
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,26,26
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,83,83
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,65,65
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,76,76
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,9,9
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,71,71
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,93,93
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,23,23
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,296,296
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,127,127
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,95,95
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,750,750
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,380,380
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,93,93
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,54,54
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,46,46
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,117,117
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,82,82
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,42,42
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,307,307
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,9,9
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,19,19
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,25,25
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,1557,1557
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,272,272
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,10,10
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,14,14
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,4,4
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,218,218
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,183,183
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,89,89
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,142,142
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,116,116
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,17,17
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,126,126
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,136,136
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,18,18
CAMIRI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,1003,1003
CAPINOTA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,264,264
CAQUIAVIRI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,64,64
CARACOLLO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,178,178
CARANAVI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,807,807
CARAPARI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,181,181
CARIPUYO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,26,26
CARMEN RIVERO TORREZ,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,177,177
CATACORA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,14,14
CHACARILLA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,12,12
CHALLAPATA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,401,401
CHAQUI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,102,102
CHARAGUA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,204,204
CHARAÑA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,5,5
CHAYANTA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,162,162
CHIMORE,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,330,330
CHIPAYA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,17,17
CHOQUE COTA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,10,10
CHUA COCANI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,27,27
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,135,135
CHUMA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,62,62
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,59,59
CKOCHAS,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,66,66
CLIZA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,339,339
COBIJA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,1031,1031
COCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,46,46
COCHABAMBA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,18042,18042
COIPASA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,5,5
COLCAPIRHUA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,1315,1315
"COLCHA ""K""",otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,105,105
COLLANA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,20,20
COLOMI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,241,241
COLPA BELGICA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,236,236
COLQUECHACA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,162,162
COLQUENCHA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,148,148
COLQUIRI,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,62,62
COMANCHE,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,13,13
COMARAPA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,212,212
COMBAYA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,37,37
CONCEPCION,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,235,235
COPACABANA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,38,38
CORIPATA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,93,93
CORO CORO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,43,43
COROICO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,217,217
CORQUE,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,56,56
COTAGAITA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,334,334
COTOCA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,1673,1673
CRUZ DE MACHACAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,2,2
CUATRO CAÑADAS,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,429,429
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,16,16
CUEVO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,24,24
CULPINA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,238,238
CURAHUARA DE CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,46,46
CURVA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,17,17
DESAGUADERO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,40,40
EL ALTO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,8929,8929
EL CHORO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,34,34
EL PUENTE(STC),otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,286,286
EL PUENTE(TJA),otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,54,54
EL TORNO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,2932,2932
EL VILLAR,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,26,26
ENTRE RIOS TRJ,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,244,244
ENTRE RIOS CBBA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,450,450
ESCARA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,11,11
ESCOMA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,42,42
ESMERALDA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,23,23
EUCALIPTUS,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,26,26
EUREKA (SANTOS MERCADO),otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,5,5
EXALTACION,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,15,15
FERNANDEZ ALONSO,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,236,236
FILADELFIA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,50,50
GENERAL SAAVEDRA,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,162,162
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,32,32
GUANAY,otras actividades de enfermeria,curaciones y/o suturas,2020-01-01,79,79
