municipality,group,variable,month,Otras actividades,TOTAL
ACHACACHI,otras actividades de enfermeria,otras actividades,2020-01-01,34,34
ACHOCALLA,otras actividades de enfermeria,otras actividades,2020-01-01,5,5
AIQUILE,otras actividades de enfermeria,otras actividades,2020-01-01,1506,1506
ALALAY,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
ALCALA,otras actividades de enfermeria,otras actividades,2020-01-01,24,24
ALTO BENI,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
ANCORAIMES,otras actividades de enfermeria,otras actividades,2020-01-01,52,52
ANDAMARCA,otras actividades de enfermeria,otras actividades,2020-01-01,44,44
ANTEQUERA,otras actividades de enfermeria,otras actividades,2020-01-01,8,8
ANZALDO,otras actividades de enfermeria,otras actividades,2020-01-01,40,40
APOLO,otras actividades de enfermeria,otras actividades,2020-01-01,1621,1621
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2020-01-01,2,2
ARANI,otras actividades de enfermeria,otras actividades,2020-01-01,18,18
ARBIETO,otras actividades de enfermeria,otras actividades,2020-01-01,9,9
ARQUE,otras actividades de enfermeria,otras actividades,2020-01-01,15,15
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2020-01-01,735,735
ATOCHA,otras actividades de enfermeria,otras actividades,2020-01-01,6158,6158
AUCAPATA,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
AYATA,otras actividades de enfermeria,otras actividades,2020-01-01,3,3
AYO AYO,otras actividades de enfermeria,otras actividades,2020-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2020-01-01,34,34
AZURDUY,otras actividades de enfermeria,otras actividades,2020-01-01,69,69
BATALLAS,otras actividades de enfermeria,otras actividades,2020-01-01,11,11
BAURES,otras actividades de enfermeria,otras actividades,2020-01-01,194,194
BELEN DE ANDAMARCA,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
BELLA FLOR,otras actividades de enfermeria,otras actividades,2020-01-01,73,73
BERMEJO,otras actividades de enfermeria,otras actividades,2020-01-01,410091,410091
BETANZOS,otras actividades de enfermeria,otras actividades,2020-01-01,242,242
BOLPEBRA,otras actividades de enfermeria,otras actividades,2020-01-01,10,10
BOYUIBE,otras actividades de enfermeria,otras actividades,2020-01-01,3,3
BUENA VISTA,otras actividades de enfermeria,otras actividades,2020-01-01,116,116
CABEZAS,otras actividades de enfermeria,otras actividades,2020-01-01,93,93
CAIROMA,otras actividades de enfermeria,otras actividades,2020-01-01,11,11
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2020-01-01,926,926
CAJUATA,otras actividades de enfermeria,otras actividades,2020-01-01,137,137
CALACOTO,otras actividades de enfermeria,otras actividades,2020-01-01,5,5
CALAMARCA,otras actividades de enfermeria,otras actividades,2020-01-01,12,12
CAMARGO,otras actividades de enfermeria,otras actividades,2020-01-01,17521,17521
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2020-01-01,3,3
CAMIRI,otras actividades de enfermeria,otras actividades,2020-01-01,28626,28626
CAPINOTA,otras actividades de enfermeria,otras actividades,2020-01-01,68,68
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2020-01-01,15,15
CARACOLLO,otras actividades de enfermeria,otras actividades,2020-01-01,142,142
CARANAVI,otras actividades de enfermeria,otras actividades,2020-01-01,25087,25087
CARAPARI,otras actividades de enfermeria,otras actividades,2020-01-01,36,36
CARIPUYO,otras actividades de enfermeria,otras actividades,2020-01-01,24,24
CARMEN RIVERO TORREZ,otras actividades de enfermeria,otras actividades,2020-01-01,50,50
CATACORA,otras actividades de enfermeria,otras actividades,2020-01-01,2,2
CHACARILLA,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
CHALLAPATA,otras actividades de enfermeria,otras actividades,2020-01-01,8085,8085
CHAQUI,otras actividades de enfermeria,otras actividades,2020-01-01,6,6
CHARAGUA,otras actividades de enfermeria,otras actividades,2020-01-01,1267,1267
CHAYANTA,otras actividades de enfermeria,otras actividades,2020-01-01,108,108
CHIMORE,otras actividades de enfermeria,otras actividades,2020-01-01,825,825
CHIPAYA,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,otras actividades,2020-01-01,1294,1294
CHUMA,otras actividades de enfermeria,otras actividades,2020-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,otras actividades,2020-01-01,6,6
CKOCHAS,otras actividades de enfermeria,otras actividades,2020-01-01,5,5
CLIZA,otras actividades de enfermeria,otras actividades,2020-01-01,467,467
COBIJA,otras actividades de enfermeria,otras actividades,2020-01-01,5892,5892
COCAPATA,otras actividades de enfermeria,otras actividades,2020-01-01,136,136
COCHABAMBA,otras actividades de enfermeria,otras actividades,2020-01-01,80024,80024
COLCAPIRHUA,otras actividades de enfermeria,otras actividades,2020-01-01,7570,7570
"COLCHA ""K""",otras actividades de enfermeria,otras actividades,2020-01-01,48,48
COLLANA,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
COLOMI,otras actividades de enfermeria,otras actividades,2020-01-01,119,119
COLPA BELGICA,otras actividades de enfermeria,otras actividades,2020-01-01,39,39
COLQUECHACA,otras actividades de enfermeria,otras actividades,2020-01-01,9,9
COLQUENCHA,otras actividades de enfermeria,otras actividades,2020-01-01,277,277
COLQUIRI,otras actividades de enfermeria,otras actividades,2020-01-01,5,5
COMARAPA,otras actividades de enfermeria,otras actividades,2020-01-01,5,5
CONCEPCION,otras actividades de enfermeria,otras actividades,2020-01-01,159,159
COPACABANA,otras actividades de enfermeria,otras actividades,2020-01-01,13,13
CORIPATA,otras actividades de enfermeria,otras actividades,2020-01-01,16,16
CORO CORO,otras actividades de enfermeria,otras actividades,2020-01-01,7,7
COROICO,otras actividades de enfermeria,otras actividades,2020-01-01,17041,17041
CORQUE,otras actividades de enfermeria,otras actividades,2020-01-01,132,132
COTAGAITA,otras actividades de enfermeria,otras actividades,2020-01-01,1468,1468
COTOCA,otras actividades de enfermeria,otras actividades,2020-01-01,10187,10187
CUATRO CAÑADAS,otras actividades de enfermeria,otras actividades,2020-01-01,233,233
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,otras actividades,2020-01-01,1,1
CUEVO,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
CULPINA,otras actividades de enfermeria,otras actividades,2020-01-01,4771,4771
CURAHUARA DE CARANGAS,otras actividades de enfermeria,otras actividades,2020-01-01,15,15
CURVA,otras actividades de enfermeria,otras actividades,2020-01-01,43,43
DESAGUADERO,otras actividades de enfermeria,otras actividades,2020-01-01,10,10
EL ALTO,otras actividades de enfermeria,otras actividades,2020-01-01,523293,523293
EL CHORO,otras actividades de enfermeria,otras actividades,2020-01-01,6,6
EL PUENTE(STC),otras actividades de enfermeria,otras actividades,2020-01-01,19,19
EL PUENTE(TJA),otras actividades de enfermeria,otras actividades,2020-01-01,3,3
EL TORNO,otras actividades de enfermeria,otras actividades,2020-01-01,12417,12417
EL VILLAR,otras actividades de enfermeria,otras actividades,2020-01-01,36,36
ENTRE RIOS TRJ,otras actividades de enfermeria,otras actividades,2020-01-01,19272,19272
ENTRE RIOS CBBA,otras actividades de enfermeria,otras actividades,2020-01-01,170,170
ESCARA,otras actividades de enfermeria,otras actividades,2020-01-01,3,3
ESCOMA,otras actividades de enfermeria,otras actividades,2020-01-01,35,35
ESMERALDA,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
EUCALIPTUS,otras actividades de enfermeria,otras actividades,2020-01-01,8,8
EXALTACION,otras actividades de enfermeria,otras actividades,2020-01-01,13,13
FERNANDEZ ALONSO,otras actividades de enfermeria,otras actividades,2020-01-01,21,21
GENERAL SAAVEDRA,otras actividades de enfermeria,otras actividades,2020-01-01,67,67
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,otras actividades,2020-01-01,11,11
GUANAY,otras actividades de enfermeria,otras actividades,2020-01-01,507,507
GUAQUI,otras actividades de enfermeria,otras actividades,2020-01-01,9,9
GUAYARAMERIN,otras actividades de enfermeria,otras actividades,2020-01-01,70112,70112
GUTIERREZ,otras actividades de enfermeria,otras actividades,2020-01-01,78,78
HUACARETA,otras actividades de enfermeria,otras actividades,2020-01-01,19,19
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria,otras actividades,2020-01-01,10,10
HUANUNI,otras actividades de enfermeria,otras actividades,2020-01-01,53410,53410
HUARACAJE,otras actividades de enfermeria,otras actividades,2020-01-01,59,59
HUARINA,otras actividades de enfermeria,otras actividades,2020-01-01,7,7
HUAYLLAMARCA,otras actividades de enfermeria,otras actividades,2020-01-01,105,105
HUMANATA,otras actividades de enfermeria,otras actividades,2020-01-01,2,2
ICHOCA,otras actividades de enfermeria,otras actividades,2020-01-01,4,4
ICLA,otras actividades de enfermeria,otras actividades,2020-01-01,969,969
INCAHUASI,otras actividades de enfermeria,otras actividades,2020-01-01,2,2
INGAVI (HUMAITA),otras actividades de enfermeria,otras actividades,2020-01-01,12,12
INQUISIVI,otras actividades de enfermeria,otras actividades,2020-01-01,12,12
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria,otras actividades,2020-01-01,84,84
IXIAMAS,otras actividades de enfermeria,otras actividades,2020-01-01,24,24
JESUS DE MACHACA,otras actividades de enfermeria,otras actividades,2020-01-01,18,18
LA ASUNTA,otras actividades de enfermeria,otras actividades,2020-01-01,87,87
LA GUARDIA,otras actividades de enfermeria,otras actividades,2020-01-01,2143,2143
LA PAZ,otras actividades de enfermeria,otras actividades,2020-01-01,66555,66555
LAGUNILLAS,otras actividades de enfermeria,otras actividades,2020-01-01,59,59
LAJA,otras actividades de enfermeria,otras actividades,2020-01-01,9,9
LAS CARRERAS,otras actividades de enfermeria,otras actividades,2020-01-01,7,7
LLALLAGUA,otras actividades de enfermeria,otras actividades,2020-01-01,4589,4589
LLICA,otras actividades de enfermeria,otras actividades,2020-01-01,162,162
LORETO,otras actividades de enfermeria,otras actividades,2020-01-01,21,21
LURIBAY,otras actividades de enfermeria,otras actividades,2020-01-01,2,2
MACHACAMARCA,otras actividades de enfermeria,otras actividades,2020-01-01,236,236
MACHARETI,otras actividades de enfermeria,otras actividades,2020-01-01,107,107
MAGDALENA,otras actividades de enfermeria,otras actividades,2020-01-01,220,220
MAIRANA,otras actividades de enfermeria,otras actividades,2020-01-01,810,810
MAPIRI,otras actividades de enfermeria,otras actividades,2020-01-01,8,8
MECAPACA,otras actividades de enfermeria,otras actividades,2020-01-01,6,6
MINEROS,otras actividades de enfermeria,otras actividades,2020-01-01,527,527
MIZQUE,otras actividades de enfermeria,otras actividades,2020-01-01,3096,3096
MOCOMOCO,otras actividades de enfermeria,otras actividades,2020-01-01,19,19
MOJOCOYA,otras actividades de enfermeria,otras actividades,2020-01-01,41,41
MONTEAGUDO,otras actividades de enfermeria,otras actividades,2020-01-01,24832,24832
MONTERO,otras actividades de enfermeria,otras actividades,2020-01-01,101642,101642
MORO MORO,otras actividades de enfermeria,otras actividades,2020-01-01,10,10
MOROCHATA,otras actividades de enfermeria,otras actividades,2020-01-01,64,64
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria,otras actividades,2020-01-01,4,4
NAZACARA DE PACAJES,otras actividades de enfermeria,otras actividades,2020-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria,otras actividades,2020-01-01,7,7
OCURI,otras actividades de enfermeria,otras actividades,2020-01-01,6,6
OKINAWA,otras actividades de enfermeria,otras actividades,2020-01-01,38,38
OMEREQUE,otras actividades de enfermeria,otras actividades,2020-01-01,38,38
ORURO,otras actividades de enfermeria,otras actividades,2020-01-01,81365,81365
PADCAYA,otras actividades de enfermeria,otras actividades,2020-01-01,103,103
PADILLA,otras actividades de enfermeria,otras actividades,2020-01-01,1943,1943
PAILON,otras actividades de enfermeria,otras actividades,2020-01-01,1802,1802
PALCA,otras actividades de enfermeria,otras actividades,2020-01-01,4,4
PALOS BLANCOS,otras actividades de enfermeria,otras actividades,2020-01-01,541,541
PAMPA AULLAGAS,otras actividades de enfermeria,otras actividades,2020-01-01,109,109
PAMPA GRANDE,otras actividades de enfermeria,otras actividades,2020-01-01,85,85
PAPEL PAMPA,otras actividades de enfermeria,otras actividades,2020-01-01,46,46
PASORAPA,otras actividades de enfermeria,otras actividades,2020-01-01,2,2
PATACAMAYA,otras actividades de enfermeria,otras actividades,2020-01-01,84,84
PAZÑA,otras actividades de enfermeria,otras actividades,2020-01-01,12,12
PELECHUCO,otras actividades de enfermeria,otras actividades,2020-01-01,124,124
POCOATA,otras actividades de enfermeria,otras actividades,2020-01-01,7,7
POCONA,otras actividades de enfermeria,otras actividades,2020-01-01,127,127
