municipality,group,variable,month,Nº de comunidades que participaron en el CAI de sector,TOTAL
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,14,14
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,21,21
ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,13,13
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,7,7
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,6,6
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,11,11
BELEN DE ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
BERMEJO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,13,13
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,55,55
CARACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,13,13
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
CARANGAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,7,7
CARAPARI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
CARIPUYO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,6,6
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,12,12
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,9,9
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,4,4
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,7,7
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,9,9
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,6,6
COLQUIRI,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
COMANCHE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,12,12
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
CURAHUARA DE CARANGAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,6,6
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,34,34
EL CHORO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,12,12
EL PUENTE(STC),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,8,8
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
ESMERALDA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,50,50
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,6,6
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
HUAYLLAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,14,14
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,26,26
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
LLALLAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,1,1
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,3,3
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,5,5
MOJINETE,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,2,2
MONTEAGUDO,actividades con la comunidad,no de comunidades que participaron en el cai de sector,2009-01-01,15,15
