municipality,group,variable,month,Nº de actividades de educación en Salud Oral,TOTAL
ACHACACHI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,18,18
AIQUILE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,16,16
ALCALA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,9,9
ANCORAIMES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,4,4
ANDAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,4,4
ANTEQUERA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,1,1
ANZALDO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,3,3
APOLO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,1,1
ARANI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,16,16
ARBIETO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,11,11
ARQUE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,2,2
ASCENCION DE GUARAYOS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,12,12
ATOCHA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,1,1
AUCAPATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,1,1
AYATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,2,2
AYO AYO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,11,11
BATALLAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,52,52
BAURES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,20,20
BELEN DE ANDAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,9,9
BELLA FLOR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,5,5
BERMEJO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,31,31
BETANZOS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,2,2
BOLIVAR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,6,6
BOLPEBRA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,7,7
CABEZAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2013-01-01,1,1
