municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,2,2
APOLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CURVA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
HUMANATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
LICOMA PAMPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,2,2
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,3,3
PALCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
PATACAMAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
POCONA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
