municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,4,4
ALALAY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,6,6
ANZALDO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,4,4
ARANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,4,4
AYO AYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
AZURDUY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
BATALLAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,5,5
BELLA FLOR,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,5,5
BOLIVAR,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,3,3
CAIROMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
CALAMARCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,5,5
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
CARANAVI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
CHACARILLA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
CHAQUI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
CHAYANTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
CHIPAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
CHUMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,4,4
COCHABAMBA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
COLLANA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,19,19
COLQUENCHA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
COLQUIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,7,7
COPACABANA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,3,3
CORIPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
CORO CORO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
CORQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
COTAGAITA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,4,4
CUEVO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
DESAGUADERO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,3,3
FILADELFIA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
GUAQUI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,1,1
HUARINA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,3,3
HUMANATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
ICLA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
INCAHUASI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2019-01-01,2,2
