municipality,group,variable,month,RN con malformación congénita,TOTAL
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2019-01-01,1,1
COCAPATA,atencion de partos en domicilio,rn con malformacion congenita,2019-01-01,1,1
COTAGAITA,atencion de partos en domicilio,rn con malformacion congenita,2019-01-01,1,1
LURIBAY,atencion de partos en domicilio,rn con malformacion congenita,2019-01-01,1,1
POCOATA,atencion de partos en domicilio,rn con malformacion congenita,2019-01-01,1,1
SANTIAGO DE HUATA,atencion de partos en domicilio,rn con malformacion congenita,2019-01-01,1,1
TACOPAYA,atencion de partos en domicilio,rn con malformacion congenita,2019-01-01,1,1
AYO AYO,atencion de partos en domicilio,rn con malformacion congenita,2019-02-01,1,1
COCAPATA,atencion de partos en domicilio,rn con malformacion congenita,2019-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,rn con malformacion congenita,2019-02-01,1,1
MECAPACA,atencion de partos en domicilio,rn con malformacion congenita,2019-02-01,1,1
RAQAYPAMPA(ETA),atencion de partos en domicilio,rn con malformacion congenita,2019-02-01,1,1
ALALAY,atencion de partos en domicilio,rn con malformacion congenita,2019-03-01,1,1
CHAYANTA,atencion de partos en domicilio,rn con malformacion congenita,2019-03-01,1,1
PADCAYA,atencion de partos en domicilio,rn con malformacion congenita,2019-03-01,1,1
PALCA,atencion de partos en domicilio,rn con malformacion congenita,2019-03-01,1,1
SAN BORJA,atencion de partos en domicilio,rn con malformacion congenita,2019-03-01,2,2
TARABUCO,atencion de partos en domicilio,rn con malformacion congenita,2019-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,rn con malformacion congenita,2019-03-01,1,1
VILLA TUNARI,atencion de partos en domicilio,rn con malformacion congenita,2019-03-01,2,2
ARAMPAMPA,atencion de partos en domicilio,rn con malformacion congenita,2019-04-01,1,1
ARQUE,atencion de partos en domicilio,rn con malformacion congenita,2019-04-01,1,1
PUCARANI,atencion de partos en domicilio,rn con malformacion congenita,2019-04-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,rn con malformacion congenita,2019-04-01,1,1
TUPIZA,atencion de partos en domicilio,rn con malformacion congenita,2019-04-01,1,1
VACAS,atencion de partos en domicilio,rn con malformacion congenita,2019-04-01,1,1
VILA VILA,atencion de partos en domicilio,rn con malformacion congenita,2019-04-01,1,1
CHAYANTA,atencion de partos en domicilio,rn con malformacion congenita,2019-05-01,3,3
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2019-05-01,1,1
HUANUNI,atencion de partos en domicilio,rn con malformacion congenita,2019-05-01,1,1
INQUISIVI,atencion de partos en domicilio,rn con malformacion congenita,2019-05-01,1,1
VIACHA,atencion de partos en domicilio,rn con malformacion congenita,2019-05-01,1,1
PUCARANI,atencion de partos en domicilio,rn con malformacion congenita,2019-06-01,1,1
