municipality,group,variable,month,Nacidos muertos atendidos por partera,TOTAL
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-01-01,1.0,1.0
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-01-01,1.0,1.0
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-01-01,0.0,0.0
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-01-01,1.0,1.0
LA PAZ,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-02-01,1.0,1.0
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-02-01,1.0,1.0
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-02-01,0.0,0.0
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-03-01,1.0,1.0
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-03-01,1.0,1.0
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-03-01,0.0,0.0
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-04-01,1.0,1.0
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-04-01,2.0,2.0
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-04-01,0.0,0.0
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-04-01,1.0,1.0
LAGUNILLAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-05-01,1.0,1.0
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-05-01,1.0,1.0
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-05-01,9.0,9.0
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-06-01,0.0,0.0
LA PAZ,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-07-01,1.0,1.0
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-07-01,0.0,0.0
VILLA MONTES,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-07-01,1.0,1.0
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-08-01,1.0,1.0
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-08-01,1.0,1.0
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-08-01,1.0,1.0
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-08-01,1.0,1.0
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-08-01,0.0,0.0
CORQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-09-01,1.0,1.0
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-09-01,1.0,1.0
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-09-01,1.0,1.0
TRINIDAD,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-09-01,1.0,1.0
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-09-01,1.0,1.0
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-09-01,1.0,1.0
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-11-01,1.0,1.0
ARAMPAMPA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2019-12-01,1.0,1.0
