municipality,group,variable,month,Partos atendidos por otros,TOTAL
ACHACACHI,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,3,3
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
BOLPEBRA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,3,3
CARACOLLO,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,3,3
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,4,4
CHAYANTA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,8,8
COLOMI,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,30,30
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,2,2
ESCOMA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,4,4
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,2,2
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,8,8
LLALLAGUA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,5,5
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,3,3
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,6,6
POCOATA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
POJO (CBBA),atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,3,3
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2019-01-01,3,3
