municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,4,4
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,3,3
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,0,0
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,4,4
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,0,0
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-02-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,4,4
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,5,5
LAJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,1,1
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,2,2
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,0,0
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,2,2
YACUIBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-03-01,1,1
CALAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,1,1
ESCOMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,1,1
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,0,0
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,3,3
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-04-01,1,1
AYO AYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
REYES,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,4,4
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,9,9
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,3,3
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera capacitada,2019-05-01,1,1
