municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-01-01,3,3
SORATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-01-01,0,0
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-02-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-02-01,0,0
CORO CORO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-03-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-03-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-03-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-03-01,0,0
YAMPARAEZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-04-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-04-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-04-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-04-01,0,0
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-05-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-05-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-06-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-06-01,0,0
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-07-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-07-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-07-01,0,0
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-07-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-08-01,1,1
POTOSI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-08-01,2,2
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-08-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-08-01,0,0
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-09-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-09-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-09-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-09-01,1,1
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-10-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-10-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-10-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-10-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-11-01,1,1
BELLA FLOR,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-11-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-11-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-11-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-11-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-12-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-12-01,3,3
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-12-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-12-01,4,4
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2019-12-01,1,1
