municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,4,4
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,3,3
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
BOLPEBRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,10,10
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,5,5
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,3,3
PELECHUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,2,2
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,4,4
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
SAMAIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
SAN BENITO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,5,5
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,5,5
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
SORATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,0,0
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,3,3
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
TOLEDO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,2,2
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,4,4
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,2,2
WARNES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-01-01,2,2
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-02-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-02-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-02-01,21,21
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-02-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-02-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2019-02-01,9,9
