municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-01-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-01-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-01-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-01-01,0,0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-02-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-02-01,0,0
VIACHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-02-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-02-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-03-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-03-01,1,1
COTOCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-03-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-03-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-03-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-03-01,0,0
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-03-01,1,1
YAMPARAEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-03-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-04-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-04-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-04-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-04-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-04-01,0,0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-05-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-05-01,1,1
AUCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-06-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-06-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-06-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-06-01,0,0
CALACOTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-07-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-07-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-07-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2019-07-01,1,1
