municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,3,3
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,11,11
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,4,4
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,2,2
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,2,2
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,6,6
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,13,13
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,3,3
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,6,6
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,3,3
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,4,4
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,4,4
BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,2,2
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,5,5
CARAPARI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,6,6
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,5,5
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
CHARAÑA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,6,6
CHIMORE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,1,1
CHIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,2,2
CHUA COCANI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,3,3
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,2,2
CKOCHAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2019-01-01,5,5
