municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
ARQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,3,3
BETANZOS,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
BOLPEBRA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,10,10
CALAMARCA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,3,3
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
PELECHUCO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
POJO (CBBA),atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,4,4
ROBORE,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
SAN BENITO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,5,5
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,4,4
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,1,1
WARNES,atencion de partos en domicilio,partos atendidos por partera empirica,2019-01-01,2,2
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,21,21
CALAMARCA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,8,8
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
PAZÑA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
PELECHUCO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
SAN BENITO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,3,3
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,3,3
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,0,0
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
TURCO,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,1,1
WALDO BALLIVIAN,atencion de partos en domicilio,partos atendidos por partera empirica,2019-02-01,2,2
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera empirica,2019-03-01,1,1
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera empirica,2019-03-01,2,2
