,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
AIQUILE,chagas,tratamientos de 15 anos y mas,2023-01-01,1,0,1,1,2,1
ALCALA,chagas,tratamientos de 15 anos y mas,2023-01-01,0,0,1,1,1,1
ARAMPAMPA,chagas,tratamientos de 15 anos y mas,2023-01-01,1,1,0,0,1,1
ARBIETO,chagas,tratamientos de 15 anos y mas,2023-01-01,0,0,0,2,0,2
BERMEJO,chagas,tratamientos de 15 anos y mas,2023-01-01,3,3,1,0,4,3
CAPINOTA,chagas,tratamientos de 15 anos y mas,2023-01-01,1,1,0,1,1,2
CARAPARI,chagas,tratamientos de 15 anos y mas,2023-01-01,0,1,0,0,0,1
CKOCHAS,chagas,tratamientos de 15 anos y mas,2023-01-01,1,1,2,1,3,2
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2023-01-01,8,16,4,6,12,22
ENTRE RIOS CBBA,chagas,tratamientos de 15 anos y mas,2023-01-01,2,1,0,0,2,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos de 15 anos y mas,2023-01-01,0,0,2,12,2,12
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2023-01-01,0,0,1,0,1,0
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2023-01-01,0,8,0,1,0,9
LA PAZ,chagas,tratamientos de 15 anos y mas,2023-01-01,0,1,0,0,0,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2023-01-01,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2023-01-01,2,2,0,0,2,2
PASORAPA,chagas,tratamientos de 15 anos y mas,2023-01-01,0,1,0,0,0,1
POROMA,chagas,tratamientos de 15 anos y mas,2023-01-01,0,0,3,2,3,2
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2023-01-01,1,4,0,0,1,4
