,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2023-01-01,0,1,0,0,0,1
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2023-01-01,0,1,0,0,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2023-02-01,0,2,0,0,0,2
PADCAYA,chagas,tratamientos rn a menores de 1 ano de edad,2023-02-01,1,0,0,0,1,0
SAIPINA,chagas,tratamientos rn a menores de 1 ano de edad,2023-02-01,0,1,0,0,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2023-02-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2023-02-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2023-02-01,0,1,1,0,1,1
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2023-02-01,0,0,0,1,0,1
ENTRE RIOS TRJ,chagas,tratamientos rn a menores de 1 ano de edad,2023-03-01,0,0,0,1,0,1
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2023-03-01,1,0,0,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2023-03-01,0,1,0,2,0,3
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2023-03-01,1,1,0,0,1,1
PADCAYA,chagas,tratamientos rn a menores de 1 ano de edad,2023-03-01,1,0,0,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2023-03-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2023-03-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2023-03-01,0,1,0,1,0,2
