,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
"CAIZA ""D""",chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-01-01,1,0,0,0,1,0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-01-01,0,0,1,0,1,0
INCAHUASI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-01-01,0,0,3,2,3,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-01-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-01-01,0,0,4,1,4,1
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-01-01,0,0,1,1,1,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-02-01,6,9,0,0,6,9
PADCAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-02-01,1,0,0,0,1,0
SAN LUCAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-02-01,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-02-01,1,1,0,0,1,1
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-02-01,0,0,1,1,1,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-02-01,0,0,0,1,0,1
YAMPARAEZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-02-01,0,0,1,3,1,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2023-03-01,0,1,0,0,0,1
