,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-03-01,0.0,1.0,0.0,0.0,0.0,1.0
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-05-01,0.0,0.0,1.0,0.0,1.0,0.0
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-05-01,0.0,0.0,1.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-05-01,1.0,0.0,0.0,0.0,1.0,0.0
SOPACHUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-05-01,0.0,1.0,0.0,0.0,0.0,1.0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-05-01,1.0,1.0,0.0,0.0,1.0,1.0
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-06-01,1.0,0.0,0.0,0.0,1.0,0.0
POROMA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-07-01,1.0,0.0,0.0,0.0,1.0,0.0
PORONGO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-07-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-07-01,2.0,2.0,1.0,0.0,3.0,2.0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-07-01,1.0,0.0,1.0,0.0,2.0,0.0
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-08-01,0.0,0.0,1.0,0.0,1.0,0.0
SAN BENITO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-08-01,0.0,0.0,1.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-08-01,0.0,1.0,0.0,0.0,0.0,1.0
SOPACHUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-08-01,0.0,0.0,0.0,1.0,0.0,1.0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-08-01,0.0,0.0,0.0,1.0,0.0,1.0
POROMA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-09-01,0.0,0.0,1.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-09-01,0.0,1.0,1.0,1.0,1.0,2.0
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-09-01,0.0,1.0,0.0,0.0,0.0,1.0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-10-01,1.0,0.0,0.0,0.0,1.0,0.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-10-01,0.0,1.0,0.0,0.0,0.0,1.0
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-10-01,0.0,0.0,0.0,1.0,0.0,1.0
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-11-01,0.0,1.0,0.0,0.0,0.0,1.0
COLOMI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-12-01,0.0,1.0,0.0,0.0,0.0,1.0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-12-01,0.0,0.0,1.0,0.0,1.0,0.0
PUNA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-12-01,1.0,0.0,0.0,0.0,1.0,0.0
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2023-12-01,2.0,0.0,0.0,0.0,2.0,0.0
