,group,variable,month,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,2,2
ACHACACHI,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,42,42
ACHOCALLA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,5,5
AIQUILE,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,16,16
ALCALA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,1,1
ALTO BENI,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,10,10
ANCORAIMES,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,5,5
ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,3,3
ANTEQUERA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,1,1
ANZALDO,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,6,6
APOLO,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,18,18
ARANI,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,10,10
ARBIETO,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,38,38
ARQUE,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,7,7
ASCENCION DE GUARAYOS,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,16,16
ATOCHA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,16,16
AUCAPATA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,7,7
AYATA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,31,31
AZURDUY,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,7,7
BATALLAS,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,4,4
BELLA FLOR,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,3,3
BERMEJO,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,96,96
BETANZOS,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,30,30
BOLIVAR,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,4,4
BOYUIBE,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,8,8
BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,39,39
CABEZAS,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,25,25
CAIROMA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,11,11
"CAIZA ""D""",vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,6,6
CAJUATA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,10,10
CALAMARCA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,15,15
CAMARGO,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,22,22
CAMATAQUI (C. VILLA ABECIA),vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,2,2
CAMIRI,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,84,84
CAPINOTA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,47,47
CARACOLLO,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,18,18
CARANAVI,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,122,122
CARAPARI,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,22,22
CARMEN RIVERO TORREZ,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,11,11
CHALLAPATA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,54,54
CHAQUI,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,14,14
CHARAGUA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,58,58
CHAYANTA,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,4,4
CHIMORE,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,72,72
CHUA COCANI,vih,no de mujeres embarazadas con prueba rapida,2022-01-01,0,4,4
