,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,no de personas con prueba rapida,2022-01-01,0,1,1
ACHACACHI,vih,no de personas con prueba rapida,2022-01-01,15,133,148
AIQUILE,vih,no de personas con prueba rapida,2022-01-01,7,19,26
ALCALA,vih,no de personas con prueba rapida,2022-01-01,1,2,3
ALTO BENI,vih,no de personas con prueba rapida,2022-01-01,0,2,2
ANCORAIMES,vih,no de personas con prueba rapida,2022-01-01,0,1,1
ARANI,vih,no de personas con prueba rapida,2022-01-01,2,2,4
ARBIETO,vih,no de personas con prueba rapida,2022-01-01,1,5,6
ARQUE,vih,no de personas con prueba rapida,2022-01-01,0,2,2
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2022-01-01,4,22,26
ATOCHA,vih,no de personas con prueba rapida,2022-01-01,5,7,12
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2022-01-01,1,14,15
AZURDUY,vih,no de personas con prueba rapida,2022-01-01,0,22,22
BERMEJO,vih,no de personas con prueba rapida,2022-01-01,11,26,37
BETANZOS,vih,no de personas con prueba rapida,2022-01-01,0,1,1
BOYUIBE,vih,no de personas con prueba rapida,2022-01-01,0,1,1
BUENA VISTA,vih,no de personas con prueba rapida,2022-01-01,2,2,4
CABEZAS,vih,no de personas con prueba rapida,2022-01-01,2,1,3
CAIROMA,vih,no de personas con prueba rapida,2022-01-01,1,0,1
CAJUATA,vih,no de personas con prueba rapida,2022-01-01,0,1,1
CAMARGO,vih,no de personas con prueba rapida,2022-01-01,12,38,50
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2022-01-01,0,4,4
CAMIRI,vih,no de personas con prueba rapida,2022-01-01,12,13,25
CAPINOTA,vih,no de personas con prueba rapida,2022-01-01,4,21,25
CARACOLLO,vih,no de personas con prueba rapida,2022-01-01,0,14,14
CARANAVI,vih,no de personas con prueba rapida,2022-01-01,97,33,130
CARAPARI,vih,no de personas con prueba rapida,2022-01-01,1,0,1
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2022-01-01,3,4,7
CHARAGUA,vih,no de personas con prueba rapida,2022-01-01,0,6,6
CHIMORE,vih,no de personas con prueba rapida,2022-01-01,6,39,45
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2022-01-01,14,10,24
CHUMA,vih,no de personas con prueba rapida,2022-01-01,2,2,4
CHUQUIHUTA AYLLU JUCUMANI,vih,no de personas con prueba rapida,2022-01-01,0,3,3
CKOCHAS,vih,no de personas con prueba rapida,2022-01-01,1,0,1
CLIZA,vih,no de personas con prueba rapida,2022-01-01,3,0,3
COBIJA,vih,no de personas con prueba rapida,2022-01-01,34,8,42
COCHABAMBA,vih,no de personas con prueba rapida,2022-01-01,1119,1641,2760
COIPASA,vih,no de personas con prueba rapida,2022-01-01,2,2,4
COLCAPIRHUA,vih,no de personas con prueba rapida,2022-01-01,47,57,104
COLOMI,vih,no de personas con prueba rapida,2022-01-01,0,4,4
COLPA BELGICA,vih,no de personas con prueba rapida,2022-01-01,5,0,5
COLQUECHACA,vih,no de personas con prueba rapida,2022-01-01,3,4,7
COLQUENCHA,vih,no de personas con prueba rapida,2022-01-01,5,13,18
COMARAPA,vih,no de personas con prueba rapida,2022-01-01,10,21,31
CONCEPCION,vih,no de personas con prueba rapida,2022-01-01,6,13,19
COROICO,vih,no de personas con prueba rapida,2022-01-01,18,19,37
CORQUE,vih,no de personas con prueba rapida,2022-01-01,0,2,2
COTAGAITA,vih,no de personas con prueba rapida,2022-01-01,4,3,7
COTOCA,vih,no de personas con prueba rapida,2022-01-01,77,44,121
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2022-01-01,14,52,66
CUEVO,vih,no de personas con prueba rapida,2022-01-01,4,14,18
CULPINA,vih,no de personas con prueba rapida,2022-01-01,19,6,25
CURAHUARA DE CARANGAS,vih,no de personas con prueba rapida,2022-01-01,1,2,3
CURVA,vih,no de personas con prueba rapida,2022-01-01,0,2,2
DESAGUADERO,vih,no de personas con prueba rapida,2022-01-01,0,2,2
EL ALTO,vih,no de personas con prueba rapida,2022-01-01,760,1335,2095
