,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,rabia,no de personas con esquema reducido completo,2016-01-01,5,2,5,2,7
AIQUILE,rabia,no de personas con esquema reducido completo,2016-01-01,1,0,1,0,1
ANTEQUERA,rabia,no de personas con esquema reducido completo,2016-01-01,1,2,1,2,3
ARBIETO,rabia,no de personas con esquema reducido completo,2016-01-01,1,0,1,0,1
ATOCHA,rabia,no de personas con esquema reducido completo,2016-01-01,1,1,1,1,2
BATALLAS,rabia,no de personas con esquema reducido completo,2016-01-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema reducido completo,2016-01-01,1,1,1,1,2
BETANZOS,rabia,no de personas con esquema reducido completo,2016-01-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con esquema reducido completo,2016-01-01,2,0,2,0,2
CAMIRI,rabia,no de personas con esquema reducido completo,2016-01-01,0,4,0,4,4
CARACOLLO,rabia,no de personas con esquema reducido completo,2016-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema reducido completo,2016-01-01,0,1,0,1,1
CARAPARI,rabia,no de personas con esquema reducido completo,2016-01-01,1,2,1,2,3
CHALLAPATA,rabia,no de personas con esquema reducido completo,2016-01-01,7,6,7,6,13
COCHABAMBA,rabia,no de personas con esquema reducido completo,2016-01-01,17,16,17,16,33
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2016-01-01,1,0,1,0,1
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2016-01-01,1,0,1,0,1
CONCEPCION,rabia,no de personas con esquema reducido completo,2016-01-01,0,2,0,2,2
COPACABANA,rabia,no de personas con esquema reducido completo,2016-01-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema reducido completo,2016-01-01,2,0,2,0,2
COTOCA,rabia,no de personas con esquema reducido completo,2016-01-01,3,3,3,3,6
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2016-01-01,1,2,1,2,3
EL ALTO,rabia,no de personas con esquema reducido completo,2016-01-01,42,42,42,42,84
EL TORNO,rabia,no de personas con esquema reducido completo,2016-01-01,24,15,24,15,39
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2016-01-01,1,0,1,0,1
GENERAL SAAVEDRA,rabia,no de personas con esquema reducido completo,2016-01-01,3,2,3,2,5
GUANAY,rabia,no de personas con esquema reducido completo,2016-01-01,0,1,0,1,1
HUANUNI,rabia,no de personas con esquema reducido completo,2016-01-01,2,1,2,1,3
LA GUARDIA,rabia,no de personas con esquema reducido completo,2016-01-01,18,12,18,12,30
LA PAZ,rabia,no de personas con esquema reducido completo,2016-01-01,68,56,68,56,124
MAIRANA,rabia,no de personas con esquema reducido completo,2016-01-01,3,0,3,0,3
MINEROS,rabia,no de personas con esquema reducido completo,2016-01-01,3,0,3,0,3
MIZQUE,rabia,no de personas con esquema reducido completo,2016-01-01,2,0,2,0,2
MONTEAGUDO,rabia,no de personas con esquema reducido completo,2016-01-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema reducido completo,2016-01-01,2,6,2,6,8
MORO MORO,rabia,no de personas con esquema reducido completo,2016-01-01,0,2,0,2,2
ORURO,rabia,no de personas con esquema reducido completo,2016-01-01,3,2,3,2,5
PAILON,rabia,no de personas con esquema reducido completo,2016-01-01,2,1,2,1,3
PALOS BLANCOS,rabia,no de personas con esquema reducido completo,2016-01-01,1,2,1,2,3
PORONGO,rabia,no de personas con esquema reducido completo,2016-01-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas con esquema reducido completo,2016-01-01,10,12,10,12,22
PUERTO CARABUCO,rabia,no de personas con esquema reducido completo,2016-01-01,0,1,0,1,1
PUNATA,rabia,no de personas con esquema reducido completo,2016-01-01,2,0,2,0,2
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2016-01-01,5,0,5,0,5
SACABA,rabia,no de personas con esquema reducido completo,2016-01-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2016-01-01,0,1,0,1,1
