,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
COCHABAMBA,rabia,no de personas con esquema clasico completo,2016-01-01,2,0,2,0,2
EL ALTO,rabia,no de personas con esquema clasico completo,2016-01-01,16,13,16,13,29
GUANAY,rabia,no de personas con esquema clasico completo,2016-01-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2016-01-01,1,3,1,3,4
MONTERO,rabia,no de personas con esquema clasico completo,2016-01-01,4,2,4,2,6
ORURO,rabia,no de personas con esquema clasico completo,2016-01-01,3,1,3,1,4
PADILLA,rabia,no de personas con esquema clasico completo,2016-01-01,2,1,2,1,3
PAILON,rabia,no de personas con esquema clasico completo,2016-01-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2016-01-01,14,16,14,16,30
POTOSI,rabia,no de personas con esquema clasico completo,2016-01-01,9,13,9,13,22
PUNA,rabia,no de personas con esquema clasico completo,2016-01-01,10,0,10,0,10
SAN CARLOS,rabia,no de personas con esquema clasico completo,2016-01-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2016-01-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2016-01-01,19,14,19,14,33
TIPUANI,rabia,no de personas con esquema clasico completo,2016-01-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2016-01-01,23,13,23,13,36
TUPIZA,rabia,no de personas con esquema clasico completo,2016-01-01,0,1,0,1,1
UYUNI,rabia,no de personas con esquema clasico completo,2016-01-01,2,2,2,2,4
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2016-01-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2016-01-01,0,2,0,2,2
VILLA MONTES,rabia,no de personas con esquema clasico completo,2016-01-01,1,0,1,0,1
VILLAZON,rabia,no de personas con esquema clasico completo,2016-01-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2016-01-01,2,0,2,0,2
YAPACANI,rabia,no de personas con esquema clasico completo,2016-01-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema clasico completo,2016-02-01,0,1,0,1,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2016-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2016-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2016-02-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2016-02-01,2,0,2,0,2
EL ALTO,rabia,no de personas con esquema clasico completo,2016-02-01,11,10,11,10,21
GUANAY,rabia,no de personas con esquema clasico completo,2016-02-01,0,1,0,1,1
HUANUNI,rabia,no de personas con esquema clasico completo,2016-02-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2016-02-01,0,2,0,2,2
LA PAZ,rabia,no de personas con esquema clasico completo,2016-02-01,1,0,1,0,1
MAPIRI,rabia,no de personas con esquema clasico completo,2016-02-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema clasico completo,2016-02-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2016-02-01,0,3,0,3,3
PAILON,rabia,no de personas con esquema clasico completo,2016-02-01,1,1,1,1,2
POTOSI,rabia,no de personas con esquema clasico completo,2016-02-01,39,0,39,0,39
PUERTO QUIJARRO,rabia,no de personas con esquema clasico completo,2016-02-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2016-02-01,1,1,1,1,2
SAN JULIAN,rabia,no de personas con esquema clasico completo,2016-02-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2016-02-01,16,14,16,14,30
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2016-02-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2016-02-01,22,23,22,23,45
VILLAZON,rabia,no de personas con esquema clasico completo,2016-02-01,1,0,1,0,1
