,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ANCORAIMES,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2016-01-01,3,1,3,1,4
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2016-01-01,14,12,14,12,26
GUANAY,rabia,no de personas que abandonaron esquema,2016-01-01,9,1,9,1,10
HUANUNI,rabia,no de personas que abandonaron esquema,2016-01-01,3,0,3,0,3
LA GUARDIA,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2016-01-01,7,1,7,1,8
ORURO,rabia,no de personas que abandonaron esquema,2016-01-01,2,1,2,1,3
PORONGO,rabia,no de personas que abandonaron esquema,2016-01-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas que abandonaron esquema,2016-01-01,0,3,0,3,3
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2016-01-01,1,1,1,1,2
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas que abandonaron esquema,2016-01-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2016-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2016-01-01,2,3,2,3,5
SUCRE,rabia,no de personas que abandonaron esquema,2016-01-01,1,1,1,1,2
TARIJA,rabia,no de personas que abandonaron esquema,2016-01-01,2,1,2,1,3
TEOPONTE,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
TOTORA(CBBA),rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2016-01-01,7,1,7,1,8
UNCIA,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
UYUNI,rabia,no de personas que abandonaron esquema,2016-01-01,1,1,1,1,2
VILLA MONTES,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
VILLAZON,rabia,no de personas que abandonaron esquema,2016-01-01,2,1,2,1,3
WARNES,rabia,no de personas que abandonaron esquema,2016-01-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas que abandonaron esquema,2016-02-01,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2016-02-01,2,0,2,0,2
CLIZA,rabia,no de personas que abandonaron esquema,2016-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2016-02-01,4,2,4,2,6
COPACABANA,rabia,no de personas que abandonaron esquema,2016-02-01,1,0,1,0,1
COTOCA,rabia,no de personas que abandonaron esquema,2016-02-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2016-02-01,14,7,14,7,21
ENTRE RIOS TRJ,rabia,no de personas que abandonaron esquema,2016-02-01,1,0,1,0,1
ESCOMA,rabia,no de personas que abandonaron esquema,2016-02-01,1,0,1,0,1
HUANUNI,rabia,no de personas que abandonaron esquema,2016-02-01,1,1,1,1,2
LA PAZ,rabia,no de personas que abandonaron esquema,2016-02-01,3,4,3,4,7
MONTERO,rabia,no de personas que abandonaron esquema,2016-02-01,0,1,0,1,1
ORURO,rabia,no de personas que abandonaron esquema,2016-02-01,3,3,3,3,6
SAN JOSE DE CHIQUITOS,rabia,no de personas que abandonaron esquema,2016-02-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,no de personas que abandonaron esquema,2016-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2016-02-01,5,6,5,6,11
