,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,rabia,no de personas con vacuna antirrabica,2016-01-01,1,2,1,2,3
ACHACACHI,rabia,no de personas con vacuna antirrabica,2016-01-01,0,2,0,2,2
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2016-01-01,6,2,6,2,8
AIQUILE,rabia,no de personas con vacuna antirrabica,2016-01-01,1,0,1,0,1
ANTEQUERA,rabia,no de personas con vacuna antirrabica,2016-01-01,1,2,1,2,3
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2016-01-01,4,2,4,2,6
ATOCHA,rabia,no de personas con vacuna antirrabica,2016-01-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),rabia,no de personas con vacuna antirrabica,2016-01-01,1,0,1,0,1
BATALLAS,rabia,no de personas con vacuna antirrabica,2016-01-01,0,1,0,1,1
BERMEJO,rabia,no de personas con vacuna antirrabica,2016-01-01,2,1,2,1,3
BETANZOS,rabia,no de personas con vacuna antirrabica,2016-01-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2016-01-01,2,2,2,2,4
CABEZAS,rabia,no de personas con vacuna antirrabica,2016-01-01,0,1,0,1,1
CAMIRI,rabia,no de personas con vacuna antirrabica,2016-01-01,1,2,1,2,3
CAPINOTA,rabia,no de personas con vacuna antirrabica,2016-01-01,2,0,2,0,2
CARACOLLO,rabia,no de personas con vacuna antirrabica,2016-01-01,1,4,1,4,5
CARANAVI,rabia,no de personas con vacuna antirrabica,2016-01-01,5,1,5,1,6
CARAPARI,rabia,no de personas con vacuna antirrabica,2016-01-01,2,2,2,2,4
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2016-01-01,8,6,8,6,14
CLIZA,rabia,no de personas con vacuna antirrabica,2016-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2016-01-01,27,21,27,21,48
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2016-01-01,2,0,2,0,2
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2016-01-01,1,0,1,0,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2016-01-01,3,6,3,6,9
CONCEPCION,rabia,no de personas con vacuna antirrabica,2016-01-01,3,4,3,4,7
COPACABANA,rabia,no de personas con vacuna antirrabica,2016-01-01,7,2,7,2,9
CORIPATA,rabia,no de personas con vacuna antirrabica,2016-01-01,1,0,1,0,1
CORO CORO,rabia,no de personas con vacuna antirrabica,2016-01-01,0,1,0,1,1
COTOCA,rabia,no de personas con vacuna antirrabica,2016-01-01,3,3,3,3,6
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2016-01-01,6,4,6,4,10
EL ALTO,rabia,no de personas con vacuna antirrabica,2016-01-01,207,193,207,193,400
EL TORNO,rabia,no de personas con vacuna antirrabica,2016-01-01,24,15,24,15,39
ESCOMA,rabia,no de personas con vacuna antirrabica,2016-01-01,0,1,0,1,1
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2016-01-01,1,0,1,0,1
GENERAL SAAVEDRA,rabia,no de personas con vacuna antirrabica,2016-01-01,3,3,3,3,6
GUAQUI,rabia,no de personas con vacuna antirrabica,2016-01-01,1,0,1,0,1
HUACARETA,rabia,no de personas con vacuna antirrabica,2016-01-01,0,1,0,1,1
HUANUNI,rabia,no de personas con vacuna antirrabica,2016-01-01,2,1,2,1,3
HUARINA,rabia,no de personas con vacuna antirrabica,2016-01-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con vacuna antirrabica,2016-01-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2016-01-01,39,25,39,25,64
LA PAZ,rabia,no de personas con vacuna antirrabica,2016-01-01,131,97,131,97,228
LLICA,rabia,no de personas con vacuna antirrabica,2016-01-01,2,0,2,0,2
MAIRANA,rabia,no de personas con vacuna antirrabica,2016-01-01,3,1,3,1,4
