,group,variable,month,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,tratamientos iniciados por sospecha,2013-01-01,0,1,0,0,0,1,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2013-01-01,1,0,0,0,1,0,1
SUCRE,malaria,tratamientos iniciados por sospecha,2013-01-01,0,0,0,1,0,1,1
APOLO,malaria,tratamientos iniciados por sospecha,2013-02-01,2,0,0,0,2,0,2
COBIJA,malaria,tratamientos iniciados por sospecha,2013-02-01,5,4,0,0,5,4,9
CULPINA,malaria,tratamientos iniciados por sospecha,2013-02-01,0,1,0,0,0,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2013-02-01,2,1,0,0,2,1,3
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2013-02-01,1,0,0,0,1,0,1
POROMA,malaria,tratamientos iniciados por sospecha,2013-02-01,2,0,0,0,2,0,2
SAIPINA,malaria,tratamientos iniciados por sospecha,2013-02-01,1,0,0,0,1,0,1
APOLO,malaria,tratamientos iniciados por sospecha,2013-03-01,1,0,0,0,1,0,1
COBIJA,malaria,tratamientos iniciados por sospecha,2013-03-01,3,0,0,0,3,0,3
COCAPATA,malaria,tratamientos iniciados por sospecha,2013-03-01,0,0,1,0,1,0,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2013-03-01,3,3,0,0,3,3,6
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2013-03-01,0,1,0,0,0,1,1
TARABUCO,malaria,tratamientos iniciados por sospecha,2013-03-01,0,1,0,0,0,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2013-03-01,0,1,0,0,0,1,1
VINTO,malaria,tratamientos iniciados por sospecha,2013-03-01,0,1,0,0,0,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2013-04-01,1,0,0,0,1,0,1
COBIJA,malaria,tratamientos iniciados por sospecha,2013-04-01,3,0,0,0,3,0,3
