,group,variable,month,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BAURES,malaria,numero de tratamientos especificos dispensados,2013-01-01,2,0,0,0,2,0,2
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2013-01-01,3,1,0,0,3,1,4
CABEZAS,malaria,numero de tratamientos especificos dispensados,2013-01-01,2,0,0,0,2,0,2
COBIJA,malaria,numero de tratamientos especificos dispensados,2013-01-01,1,2,0,0,1,2,3
EL TORNO,malaria,numero de tratamientos especificos dispensados,2013-01-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2013-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2013-01-01,69,33,3,4,72,37,109
INCAHUASI,malaria,numero de tratamientos especificos dispensados,2013-01-01,2,2,0,0,2,2,4
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2013-01-01,1,0,0,0,1,0,1
IXIAMAS,malaria,numero de tratamientos especificos dispensados,2013-01-01,21,8,0,0,21,8,29
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2013-01-01,1,1,0,0,1,1,2
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2013-01-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2013-01-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2013-01-01,21,9,1,0,22,9,31
PADILLA,malaria,numero de tratamientos especificos dispensados,2013-01-01,1,2,0,0,1,2,3
POROMA,malaria,numero de tratamientos especificos dispensados,2013-01-01,6,7,0,0,6,7,13
PORVENIR,malaria,numero de tratamientos especificos dispensados,2013-01-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2013-01-01,4,9,0,0,4,9,13
