,group,variable,month,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,2,0,0,0,2,0,2
BELLA FLOR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,2,3,0,0,2,3,5
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,4,1,1,0,5,1,6
PADILLA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,1,2,0,0,1,2,3
POROMA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,4,5,0,0,4,5,9
PORVENIR,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,12,2,0,0,12,2,14
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,5,0,0,0,5,0,5
SAN BORJA,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,2,1,0,0,2,1,3
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2013-01-01,1,0,0,0,1,0,1
