,group,variable,month,TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BAURES,malaria,total de casos confirmados,2013-01-01,2,0,0,0,2,0,2
BELLA FLOR,malaria,total de casos confirmados,2013-01-01,9,2,0,0,9,2,11
BERMEJO,malaria,total de casos confirmados,2013-01-01,1,1,0,0,1,1,2
CABEZAS,malaria,total de casos confirmados,2013-01-01,2,0,0,0,2,0,2
COBIJA,malaria,total de casos confirmados,2013-01-01,1,2,0,0,1,2,3
EL TORNO,malaria,total de casos confirmados,2013-01-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,malaria,total de casos confirmados,2013-01-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2013-01-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,total de casos confirmados,2013-01-01,69,35,3,13,72,48,120
INCAHUASI,malaria,total de casos confirmados,2013-01-01,2,2,0,0,2,2,4
INGAVI (HUMAITA),malaria,total de casos confirmados,2013-01-01,1,0,0,0,1,0,1
IXIAMAS,malaria,total de casos confirmados,2013-01-01,21,8,0,0,21,8,29
LA GUARDIA,malaria,total de casos confirmados,2013-01-01,1,0,0,0,1,0,1
MAGDALENA,malaria,total de casos confirmados,2013-01-01,1,1,0,0,1,1,2
MOJOCOYA,malaria,total de casos confirmados,2013-01-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,total de casos confirmados,2013-01-01,2,0,0,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2013-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2013-01-01,21,9,1,0,22,9,31
PADILLA,malaria,total de casos confirmados,2013-01-01,1,2,0,0,1,2,3
POROMA,malaria,total de casos confirmados,2013-01-01,6,7,0,0,6,7,13
PORVENIR,malaria,total de casos confirmados,2013-01-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2013-01-01,2,0,0,0,2,0,2
