,group,variable,month,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,malaria,numero de muestras hematicas tomadas,2013-01-01,2,3,0,0,2,3,5
AIQUILE,malaria,numero de muestras hematicas tomadas,2013-01-01,3,0,0,0,3,0,3
ALCALA,malaria,numero de muestras hematicas tomadas,2013-01-01,0,2,0,0,0,2,2
APOLO,malaria,numero de muestras hematicas tomadas,2013-01-01,2,0,0,0,2,0,2
AZURDUY,malaria,numero de muestras hematicas tomadas,2013-01-01,6,5,0,0,6,5,11
BAURES,malaria,numero de muestras hematicas tomadas,2013-01-01,3,6,0,0,3,6,9
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2013-01-01,35,9,0,0,35,9,44
BERMEJO,malaria,numero de muestras hematicas tomadas,2013-01-01,31,29,0,0,31,29,60
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2013-01-01,22,27,0,0,22,27,49
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2013-01-01,4,2,0,0,4,2,6
CABEZAS,malaria,numero de muestras hematicas tomadas,2013-01-01,2,0,0,0,2,0,2
CAMARGO,malaria,numero de muestras hematicas tomadas,2013-01-01,0,24,0,0,0,24,24
CAMIRI,malaria,numero de muestras hematicas tomadas,2013-01-01,9,9,0,0,9,9,18
CARANAVI,malaria,numero de muestras hematicas tomadas,2013-01-01,3,5,0,0,3,5,8
CARAPARI,malaria,numero de muestras hematicas tomadas,2013-01-01,9,6,0,0,9,6,15
COBIJA,malaria,numero de muestras hematicas tomadas,2013-01-01,17,19,0,0,17,19,36
COMARAPA,malaria,numero de muestras hematicas tomadas,2013-01-01,1,0,0,0,1,0,1
CONCEPCION,malaria,numero de muestras hematicas tomadas,2013-01-01,18,15,0,0,18,15,33
CULPINA,malaria,numero de muestras hematicas tomadas,2013-01-01,1,1,0,0,1,1,2
EL TORNO,malaria,numero de muestras hematicas tomadas,2013-01-01,18,18,0,0,18,18,36
