municipality,group,variable,month,N° de CAI de establecimiento,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,4,4
APOLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
ARANI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,3,3
BATALLAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,4,4
BETANZOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,3,3
BOYUIBE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,3,3
CABEZAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,3,3
CAJUATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,5,5
CAPINOTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,2,2
CARANGAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,6,6
CHAQUI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,2,2
CHARAGUA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,3,3
CHIPAYA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,6,6
CKOCHAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2015-01-01,4,4
