municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,2,2
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,505,505
ALCALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,45,45
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
ANZALDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,52,52
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,62,62
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,73,73
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,7,7
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,20,20
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,30,30
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,72,72
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,28,28
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,32,32
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,65,65
BOYUIBE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,30,30
BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,220,220
CABEZAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,71,71
CAIROMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,6,6
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,43,43
CALACOTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,7,7
CALAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,35,35
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,10,10
CAMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,115,115
CAPINOTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,26,26
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,16,16
CARACOLLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,21,21
CARANAVI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,50,50
CARANGAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,10,10
CARAPARI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,13,13
CHALLAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,120,120
CHAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,33,33
CHARAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,1,1
CHARAÑA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
CHAYANTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,25,25
CHIMORE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,43,43
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,20,20
CKOCHAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,22,22
CLIZA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,438,438
COBIJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,15,15
COCAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,67,67
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,80,80
COLOMI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,2,2
COLPA BELGICA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,48,48
COLQUIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,22,22
COMARAPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,134,134
CONCEPCION,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,57,57
COROICO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,70,70
CORQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,28,28
COTAGAITA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,2,2
COTOCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,8,8
CRUZ DE MACHACAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,10,10
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,101,101
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
CUEVO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,20,20
CULPINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,19,19
DESAGUADERO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,10,10
EL ALTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,2143,2143
EL CHORO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,13,13
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,36,36
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,20,20
EL TORNO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,574,574
EL VILLAR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,10,10
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,54,54
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,106,106
ESCOMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,273,273
FILADELFIA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,15,15
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,163,163
HUACARETA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,70,70
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,48,48
HUACHACALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,15,15
HUANUNI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,1,1
ICLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,133,133
INCAHUASI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,188,188
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
INQUISIVI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,20,20
IXIAMAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,4,4
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,8,8
LA GUARDIA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,310,310
LA PAZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,33,33
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,34,34
LAJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,69,69
LLALLAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,60,60
LLICA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,18,18
LORETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,18,18
LURIBAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,11,11
MACHACAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,8,8
MACHARETI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,196,196
MAGDALENA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,24,24
MALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,50,50
MAPIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,2,2
MECAPACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,8,8
MIZQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,30,30
MOCOMOCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,37,37
MOJOCOYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,68,68
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,292,292
MONTERO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,342,342
MOROCHATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,69,69
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,95,95
OCURI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
ORURO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,1276,1276
PADCAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,13,13
PADILLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,111,111
PAILON,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,66,66
PALCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,12,12
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,10,10
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,50,50
PAMPA GRANDE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,130,130
PASORAPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,10,10
PATACAMAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
POCOATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,35,35
POCONA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,39,39
POJO (CBBA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,31,31
POOPO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,18,18
PORCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
POROMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,116,116
PORONGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,70,70
PORVENIR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,60,60
POTOSI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,1520,1520
PRESTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,177,177
PUCARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,5,5
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,55,55
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,128,128
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,40,40
PUERTO SILES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2015-01-01,3,3
