municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,6,6
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,18,18
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,4,4
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,11,11
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,4,4
ANTEQUERA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,7,7
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,26,26
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,7,7
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,8,8
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,22,22
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,14,14
BAURES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,4,4
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,14,14
BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,3,3
CAIROMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,5,5
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,34,34
CAJUATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,8,8
CALACOTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,11,11
CALAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,4,4
CAMARGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,17,17
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,16,16
CAPINOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,22,22
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,39,39
CARACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,8,8
CARANAVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,33,33
CATACORA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,161,161
CHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,3,3
CHARAGUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,2,2
CHIMORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,14,14
CHIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,6,6
CHUA COCANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,4,4
CKOCHAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,4,4
CLIZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,95,95
COCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,218,218
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,4,4
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,41,41
COLOMI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,16,16
COLQUECHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,20,20
COLQUENCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,2,2
COMANCHE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,2,2
CORQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,19,19
COTAGAITA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,10,10
COTOCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,15,15
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,4,4
CUEVO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,19,19
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,39,39
DESAGUADERO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,247,247
EL CHORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,4,4
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,6,6
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,58,58
EL TORNO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,114,114
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,43,43
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,8,8
ESCOMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,1,1
EUREKA (SANTOS MERCADO),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,2,2
FILADELFIA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,2,2
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,3,3
GUAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2015-01-01,8,8
