municipality,group,variable,month,Nº de familias carpetizadas con seguimiento durante el periódo,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,206,206
ACHACACHI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,8,8
AIQUILE,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,109,109
ALALAY,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,3,3
ANZALDO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,6,6
ARANI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,7,7
ARBIETO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,16,16
ARQUE,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,25,25
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,5,5
ATOCHA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,17,17
AYO AYO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,3,3
AZURDUY,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,15,15
BAURES,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,2,2
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,11,11
BERMEJO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,12,12
BETANZOS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,284,284
BOYUIBE,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,136,136
BUENA VISTA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,195,195
CABEZAS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,63,63
CALAMARCA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,43,43
CAMARGO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,20,20
CAMIRI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,44,44
CAPINOTA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,29,29
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,10,10
CARACOLLO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,20,20
CARANAVI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,12,12
CHALLAPATA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,109,109
CHAQUI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,140,140
CHIMORE,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,40,40
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,5,5
CHUA COCANI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,10,10
CKOCHAS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,7,7
CLIZA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,275,275
COBIJA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,36,36
COCHABAMBA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,73,73
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,10,10
COLOMI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,76,76
COLQUECHACA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,25,25
COLQUIRI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,5,5
COMARAPA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,92,92
CORQUE,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,10,10
COTAGAITA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,64,64
CRUZ DE MACHACAMARCA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,17,17
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,76,76
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,37,37
CUEVO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,111,111
CULPINA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,12,12
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,2373,2373
EL CHORO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,50,50
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,37,37
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,99,99
EL TORNO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,381,381
EL VILLAR,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,25,25
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,96,96
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,16,16
ESCOMA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,15,15
FILADELFIA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,22,22
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,13,13
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,17,17
GUAQUI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,25,25
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,57,57
HUACARETA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,22,22
HUANUNI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,6,6
INCAHUASI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,33,33
INQUISIVI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,3,3
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,13,13
LA GUARDIA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,247,247
LA PAZ,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,125,125
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,22,22
LAJA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,13,13
LLALLAGUA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,5,5
LORETO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,6,6
MACHARETI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,4,4
MAPIRI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,64,64
MECAPACA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,39,39
MOCOMOCO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,5,5
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,136,136
MONTERO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,348,348
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,85,85
OKINAWA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,43,43
OMEREQUE,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,36,36
ORURO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,1129,1129
PADCAYA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,8,8
PALCA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,14,14
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,9,9
PASORAPA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,34,34
PAZÑA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,14,14
POCONA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,43,43
POJO (CBBA),actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,39,39
POROMA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,65,65
PORVENIR,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,40,40
POSTRER VALLE,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,58,58
POTOSI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,1500,1500
PRESTO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,61,61
PUCARANI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,63,63
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,20,20
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,25,25
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,2,2
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,113,113
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,96,96
PUNA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,40,40
PUNATA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,819,819
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,758,758
RIBERALTA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,60,60
SACABA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,110,110
SACABAMBA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,190,190
SAIPINA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,22,22
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,20,20
SAMAIPATA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,25,25
SAN AGUSTIN,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,14,14
SAN ANDRES,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,27,27
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,58,58
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2015-01-01,65,65
