municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,48,48
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,105,105
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,421,421
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,71,71
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,42,42
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,55,55
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,6,6
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,56,56
ARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,67,67
ARBIETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,116,116
ARQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,25,25
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,91,91
ATOCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,35,35
AYO AYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,30,30
AZURDUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,67,67
BATALLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,28,28
BAURES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,22,22
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,40,40
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,5,5
BERMEJO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,48,48
BETANZOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,107,107
BOLIVAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,35,35
BOYUIBE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,180,180
BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,211,211
CABEZAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,126,126
CAIROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,203,203
CALACOTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,7,7
CALAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,35,35
CAMARGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,10,10
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,24,24
CAMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,293,293
CAPINOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2015-01-01,75,75
