municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
AIQUILE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,3,3
CKOCHAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,2,2
CORQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,13,13
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,20,20
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,12,12
LORETO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,2,2
ORURO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,40,40
PALCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,2,2
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,4,4
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
SACACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,3,3
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
SAN RAFAEL,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,4,4
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,21,21
SHINAOTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,4,4
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-01-01,1,1
ALALAY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
ANTEQUERA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,4,4
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,7,7
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,2,2
CHUA COCANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,6,6
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,36,36
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,13,13
MACHARETI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
MAIRANA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,4,4
MOROCHATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
OMEREQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,24,24
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,33,33
SAN ANDRES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,6,6
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,4,4
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,17,17
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,3,3
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,4,4
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,2,2
YUNCHARA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-02-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,5,5
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,17,17
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,21,21
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,12,12
LAJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2015-03-01,5,5
